Challenge,Category,Points,Time Solved,Writeup
Take a Byte,crypto,100,"April 16th, 12:19:38 AM",
Plain,forensics,100,"April 15th, 11:47:17 AM",
Taxes,forensics,100,"April 16th, 6:45:22 AM",
What's the Difference,forensics,100,"April 16th, 7:05:37 AM",
Gamer,misc,100,"April 15th, 1:12:19 PM",
Gilberto's Brother,misc,100,"April 15th, 1:46:24 PM",
Got Skills?,misc,100,"April 16th, 8:22:44 PM",
Hear Me Out,misc,100,"April 15th, 12:57:39 PM",
Sokorazy,misc,467,"April 15th, 9:23:29 PM",
One and Done,pwn,100,"April 16th, 12:58:16 AM",
Tr*vial,pwn,100,"April 15th, 2:27:18 PM",
LIVE MATH LOVE,pwn,168,"April 16th, 1:19:41 AM",
Void,pwn,272,"April 16th, 2:08:14 AM",
CTF Sim,pwn,346,"April 16th, 5:58:54 AM",
Rop Golf,pwn,405,"April 16th, 7:00:12 AM",
Covfefe,re,100,"April 15th, 11:41:07 AM",
Existing Tooling,re,100,"April 16th, 6:12:36 AM",
REdo 1,re,100,"April 15th, 11:43:23 AM",
Lock Out,web,100,"April 15th, 12:01:43 PM",
Serial Killer,web,100,"April 15th, 12:59:45 PM",
Triplet,web,100,"April 15th, 11:45:42 AM",
